play_name,character,act,scene,sentence,text,tokens,sentiment_score
Tamburlaine the Great-Part2,ORCANES,ACT I.,SCENE I.,1,"Egregious viceroys of these eastern parts,","['Egregious', 'viceroys', 'eastern', 'parts']",-0.133493405
Tamburlaine the Great-Part2,ORCANES,ACT I.,SCENE I.,2,"Plac'd by the issue of great Bajazeth,","['Plac', 'issue', 'great', 'Bajazeth']",0.037947997
Tamburlaine the Great-Part2,ORCANES,ACT I.,SCENE I.,3,"And sacred lord, the mighty Callapine,","['sacred', 'lord', 'mighty', 'Callapine']",0.310403518
Tamburlaine the Great-Part2,ORCANES,ACT I.,SCENE I.,4,Who lives in Egypt prisoner to that slave,"['lives', 'Egypt', 'prisoner', 'slave']",-0.528252161
Tamburlaine the Great-Part2,ORCANES,ACT I.,SCENE I.,5,"Which kept his father in an iron cage,","['kept', 'father', 'iron', 'cage']",-0.245764229
Tamburlaine the Great-Part2,ORCANES,ACT I.,SCENE I.,6,Now have we march'd from fair Natolia,"['march', 'fair', 'Natolia']",-0.027709696
Tamburlaine the Great-Part2,ORCANES,ACT I.,SCENE I.,7,"Two hundred leagues, and on Danubius' banks","['Two', 'hundred', 'leagues', 'Danubius', 'banks']",0.010152698
Tamburlaine the Great-Part2,ORCANES,ACT I.,SCENE I.,8,"Our warlike host, in complete armour, rest,","['warlike', 'host', 'complete', 'armour', 'rest']",-0.038563773
Tamburlaine the Great-Part2,ORCANES,ACT I.,SCENE I.,9,"Where Sigismund, the king of Hungary,","['Sigismund', 'king', 'Hungary']",0.025249787
Tamburlaine the Great-Part2,ORCANES,ACT I.,SCENE I.,10,Should meet our person to conclude a truce:,"['meet', 'person', 'conclude', 'truce']",0.04222675
Tamburlaine the Great-Part2,ORCANES,ACT I.,SCENE I.,11,What! shall we parle with the Christian?,"['shall', 'parle', 'Christian']",-0.312952407
Tamburlaine the Great-Part2,ORCANES,ACT I.,SCENE I.,12,"Or cross the stream, and meet him in the field?","['cross', 'stream', 'meet', 'field']",-0.013702665
Tamburlaine the Great-Part2,GAZELLUS,ACT I.,SCENE I.,1,"King of Natolia, let us treat of peace:","['King', 'Natolia', 'let', 'treat', 'peace']",0.351218263
Tamburlaine the Great-Part2,GAZELLUS,ACT I.,SCENE I.,2,"We all are glutted with the Christians' blood,","['glutted', 'Christians', 'blood']",-0.845175311
Tamburlaine the Great-Part2,GAZELLUS,ACT I.,SCENE I.,3,"And have a greater foe to fight against,","['greater', 'foe', 'fight']",0.015794784
Tamburlaine the Great-Part2,GAZELLUS,ACT I.,SCENE I.,4,"Proud Tamburlaine, that now in Asia,","['Proud', 'Tamburlaine', 'Asia']",0.847680493
Tamburlaine the Great-Part2,GAZELLUS,ACT I.,SCENE I.,5,"Near Guyron's head, doth set his conquering feet,","['Near', 'Guyron', 'head', 'doth', 'set', 'conquering', 'feet']",-0.059050601
Tamburlaine the Great-Part2,GAZELLUS,ACT I.,SCENE I.,6,And means to fire Turkey as he goes:,"['means', 'fire', 'Turkey', 'goes']",-0.364888184
Tamburlaine the Great-Part2,GAZELLUS,ACT I.,SCENE I.,7,"'Gainst him, my lord, you must address your power.","[""'Gainst"", 'lord', 'must', 'address', 'power']",0.081715021
Tamburlaine the Great-Part2,URIBASSA,ACT I.,SCENE I.,1,"Besides, King Sigismund hath brought from Christendom","['Besides', 'King', 'Sigismund', 'brought', 'Christendom']",0.052701494
Tamburlaine the Great-Part2,URIBASSA,ACT I.,SCENE I.,2,"More than his camp of stout Hungarians,","['camp', 'stout', 'Hungarians']",-0.180399615
Tamburlaine the Great-Part2,URIBASSA,ACT I.,SCENE I.,3,"Sclavonians, Almains, Rutters,  Muffs, and Danes,","['Sclavonians', 'Almains', 'Rutters', 'Muffs', 'Danes']",-0.004866563
Tamburlaine the Great-Part2,URIBASSA,ACT I.,SCENE I.,4,"That with the halberd, lance, and murdering axe,","['halberd', 'lance', 'murdering', 'axe']",-0.454575952
