play_name,genre,character,act,scene,sentence,text,tokens,sentiment_score
The Merchant of Venice,Comedy,Antonio,1,1,1,"In sooth, I know not why I am so sad:","['sooth', 'know', 'sad']",-0.7453268319368362
The Merchant of Venice,Comedy,Antonio,1,1,2,It wearies me; you say it wearies you;,"['wearies', 'say', 'wearies']",-0.060073934495449066
The Merchant of Venice,Comedy,Antonio,1,1,3,"But how I caught it, found it, or came by it,","['caught', 'found', 'came']",0.07294855266809464
The Merchant of Venice,Comedy,Antonio,1,1,4,"What stuff 'tis made of, whereof it is born,","['stuff', ""'t"", 'made', 'whereof', 'born']",-0.1290743052959442
The Merchant of Venice,Comedy,Antonio,1,1,5,I am to learn;,['learn'],0.06051874905824661
The Merchant of Venice,Comedy,Antonio,1,1,6,"And such a want-wit sadness makes of me,","['want-wit', 'sadness', 'makes']",-0.7100430019199848
The Merchant of Venice,Comedy,Antonio,1,1,7,That I have much ado to know myself.,"['much', 'ado', 'know']",-0.07752262055873871
The Merchant of Venice,Comedy,Salarino,1,1,8,Your mind is tossing on the ocean;,"['mind', 'tossing', 'ocean']",-0.3102659061551094
The Merchant of Venice,Comedy,Salarino,1,1,9,"There, where your argosies with portly sail,","['argosies', 'portly', 'sail']",0.06052149087190628
The Merchant of Venice,Comedy,Salarino,1,1,10,"Like signiors and rich burghers on the flood,","['Like', 'signiors', 'rich', 'burghers', 'flood']",-0.23272087797522545
The Merchant of Venice,Comedy,Salarino,1,1,11,"Or, as it were, the pageants of the sea,","['pageants', 'sea']",0.009491220116615295
The Merchant of Venice,Comedy,Salarino,1,1,12,"Do overpeer the petty traffickers,","['overpeer', 'petty', 'traffickers']",-0.6999717280268669
The Merchant of Venice,Comedy,Salarino,1,1,13,"That curtsy to them, do them reverence,","['curtsy', 'reverence']",0.18409815058112144
The Merchant of Venice,Comedy,Salarino,1,1,14,As they fly by them with their woven wings.,"['fly', 'woven', 'wings']",-0.0715019516646862
The Merchant of Venice,Comedy,Salanio,1,1,15,"Believe me, sir, had I such venture forth,","['Believe', 'sir', 'venture', 'forth']",0.21084331721067429
The Merchant of Venice,Comedy,Salanio,1,1,16,The better part of my affections would,"['better', 'part', 'affections', 'would']",0.5083018392324448
The Merchant of Venice,Comedy,Salanio,1,1,17,Be with my hopes abroad. I should be still,"['hopes', 'abroad', 'still']",0.17548610270023346
The Merchant of Venice,Comedy,Salanio,1,1,18,"Plucking the grass, to know where sits the wind,","['Plucking', 'grass', 'know', 'sits', 'wind']",-0.1694834791123867
The Merchant of Venice,Comedy,Salanio,1,1,19,Peering in maps for ports and piers and roads;,"['Peering', 'maps', 'ports', 'piers', 'roads']",0.0181569904088974
The Merchant of Venice,Comedy,Salanio,1,1,20,And every object that might make me fear,"['every', 'object', 'might', 'make', 'fear']",-0.4737971182912588
The Merchant of Venice,Comedy,Salanio,1,1,21,"Misfortune to my ventures, out of doubt","['Misfortune', 'ventures', 'doubt']",-0.3955750185996294
The Merchant of Venice,Comedy,Salanio,1,1,22,Would make me sad.,"['Would', 'make', 'sad']",-0.9318875973112881
The Merchant of Venice,Comedy,Salarino,1,1,23,My wind cooling my broth,"['wind', 'cooling', 'broth']",0.1465434469282627
The Merchant of Venice,Comedy,Salarino,1,1,24,"Would blow me to an ague, when I thought","['Would', 'blow', 'ague', 'thought']",-0.1961061879992485
The Merchant of Venice,Comedy,Salarino,1,1,25,What harm a wind too great at sea might do.,"['harm', 'wind', 'great', 'sea', 'might']",-0.703792248852551
The Merchant of Venice,Comedy,Salarino,1,1,26,"I should not see the sandy hour-glass run,","['see', 'sandy', 'hour-glass', 'run']",-0.6257442515343428
The Merchant of Venice,Comedy,Salarino,1,1,27,"But I should think of shallows and of flats,","['think', 'shallows', 'flats']",0.046823661774396896
The Merchant of Venice,Comedy,Salarino,1,1,28,"And see my wealthy Andrew dock'd in sand,","['see', 'wealthy', 'Andrew', 'dock', 'sand']",0.014787368476390839
The Merchant of Venice,Comedy,Salarino,1,1,29,Vailing her high-top lower than her ribs,"['Vailing', 'high-top', 'lower', 'ribs']",-0.19977036863565445
The Merchant of Venice,Comedy,Salarino,1,1,30,To kiss her burial. Should I go to church,"['kiss', 'burial', 'go', 'church']",-0.009258121252059937
The Merchant of Venice,Comedy,Salarino,1,1,31,"And see the holy edifice of stone,","['see', 'holy', 'edifice', 'stone']",0.11631972715258598
The Merchant of Venice,Comedy,Salarino,1,1,32,"And not bethink me straight of dangerous rocks,","['bethink', 'straight', 'dangerous', 'rocks']",-0.3528592064976692
The Merchant of Venice,Comedy,Salarino,1,1,33,"Which touching but my gentle vessel's side,","['touching', 'gentle', 'vessel', 'side']",0.17152172699570656
The Merchant of Venice,Comedy,Salarino,1,1,34,"Would scatter all her spices on the stream,","['Would', 'scatter', 'spices', 'stream']",-0.07586216554045677
The Merchant of Venice,Comedy,Salarino,1,1,35,"Enrobe the roaring waters with my silks,","['Enrobe', 'roaring', 'waters', 'silks']",0.07514306902885437
The Merchant of Venice,Comedy,Salarino,1,1,36,"And, in a word, but even now worth this,","['word', 'even', 'worth']",0.5580311734229326
The Merchant of Venice,Comedy,Salarino,1,1,37,And now worth nothing? Shall I have the thought,"['worth', 'nothing', 'Shall', 'thought']",-0.5199409984052181
The Merchant of Venice,Comedy,Salarino,1,1,38,"To think on this, and shall I lack the thought","['think', 'shall', 'lack', 'thought']",-0.4207189865410328
The Merchant of Venice,Comedy,Salarino,1,1,39,That such a thing bechanced would make me sad?,"['thing', 'bechanced', 'would', 'make', 'sad']",-0.8848431473597884
The Merchant of Venice,Comedy,Salarino,1,1,40,"But tell not me; I know, Antonio","['tell', 'know']",-0.14403240755200386
The Merchant of Venice,Comedy,Salarino,1,1,41,Is sad to think upon his merchandise.,"['sad', 'think', 'upon', 'merchandise']",-0.9199114986695349
The Merchant of Venice,Comedy,Antonio,1,1,42,"Believe me, no: I thank my fortune for it,","['Believe', 'thank', 'fortune']",0.8204750325530767
The Merchant of Venice,Comedy,Antonio,1,1,43,"My ventures are not in one bottom trusted,","['ventures', 'one', 'bottom', 'trusted']",-0.44753048568964005
The Merchant of Venice,Comedy,Antonio,1,1,44,Nor to one place; nor is my whole estate,"['one', 'place', 'whole', 'estate']",-0.11036209017038345
The Merchant of Venice,Comedy,Antonio,1,1,45,Upon the fortune of this present year:,"['Upon', 'fortune', 'present', 'year']",0.09533424116671085
The Merchant of Venice,Comedy,Antonio,1,1,46,Therefore my merchandise makes me not sad.,"['Therefore', 'merchandise', 'makes', 'sad']",0.5028667859733105
The Merchant of Venice,Comedy,Salarino,1,1,47,"Why, then you are in love.",['love'],0.10898289084434509
The Merchant of Venice,Comedy,Antonio,1,1,48,"Fie, fie!",[],0.3257819563150406
The Merchant of Venice,Comedy,Salarino,1,1,49,"Not in love neither? Then let us say you are sad,","['love', 'neither', 'let', 'say', 'sad']",-0.6588581800460815
The Merchant of Venice,Comedy,Salarino,1,1,50,Because you are not merry: and 'twere as easy,"['merry', ""'twere"", 'easy']",-0.3463822901248932
The Merchant of Venice,Comedy,Salarino,1,1,51,"For you to laugh and leap and say you are merry,","['laugh', 'leap', 'say', 'merry']",0.7660247776657343
The Merchant of Venice,Comedy,Salarino,1,1,52,"Because you are not sad. Now, by two-headed Janus,","['sad', 'two-headed', 'Janus']",0.23408761620521545
