play_name,character,act,scene,sentence,text,tokens,sentiment_score
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"Brother Cosroe, I find myself agriev'd;","['Brother', 'Cosroe', 'find', 'agriev']",0.0
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,"Yet insufficient to express the same,","['Yet', 'insufficient', 'express']",0.0
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,For it requires a great and thundering speech:,"['requires', 'great', 'thundering', 'speech']",0.6249
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,"Good brother, tell the cause unto my lords;","['Good', 'brother', 'tell', 'cause', 'unto', 'lords']",0.4404
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,I know you have a better wit than I.,"['know', 'better', 'wit']",0.4404
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,1,"Unhappy Persia,?that in former age","['Unhappy', 'Persia', '\x94that', 'former', 'age']",-0.4215
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,2,"Hast been the seat of mighty conquerors,","['seat', 'mighty', 'conquerors']",0.0
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,3,"That, in their prowess and their policies,","['prowess', 'policies']",0.0
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,4,"Have triumph'd over Afric,  and the bounds","['triumph', 'Afric', 'bounds']",0.0
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,5,Of Europe where the sun dares scarce appear,"['Europe', 'sun', 'dares', 'scarce', 'appear']",0.0
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,6,"For freezing meteors and congealed cold,","['freezing', 'meteors', 'congealed', 'cold']",-0.1027
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,7,Now to be rul'd and govern'd by a man,"['rul', 'govern', 'man']",0.0
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,8,"At whose birth-day Cynthia with Saturn join'd,","['whose', 'birth-day', 'Cynthia', 'Saturn', 'join']",0.0
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,9,"And Jove, the Sun, and Mercury denied","['Jove', 'Sun', 'Mercury', 'denied']",-0.4404
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,10,To shed their  influence in his fickle brain!,"['shed', 'influence', 'fickle', 'brain']",0.0
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,11,"Now Turks and Tartars shake their swords at thee,","['Turks', 'Tartars', 'shake', 'swords']",-0.1779
Tamburlaine the Great-Part1,COSROE,SCENE I.,SCENE I.,12,Meaning to mangle all thy provinces.,"['Meaning', 'mangle', 'provinces']",0.0
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"Brother, I see your meaning well enough,","['Brother', 'see', 'meaning', 'well', 'enough']",0.2732
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,And through  your planets I perceive you think,"['planets', 'perceive', 'think']",0.0
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,I am not wise enough to be a king:,"['wise', 'enough', 'king']",-0.3724
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,"But I refer me to my noblemen,","['refer', 'noblemen']",0.0
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,"That know my wit, and can be witnesses.","['know', 'wit', 'witnesses']",0.0
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,6,"I might command you to be slain for this,","['might', 'command', 'slain']",0.0
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,7,"Meander, might I not?","['Meander', 'might']",0.0
Tamburlaine the Great-Part1,MEANDER,SCENE I.,SCENE I.,1,"Not for so small a fault, my sovereign lord.","['small', 'fault', 'sovereign', 'lord']",-0.4522
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,1,"I mean it not, but yet I know I might.","['mean', 'yet', 'know', 'might']",0.0
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,2,"Yet live; yea, live; Mycetes wills it so.","['Yet', 'live', 'yea', 'live', 'Mycetes', 'wills']",0.0
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,3,"Meander, thou, my faithful counsellor,","['Meander', 'faithful', 'counsellor']",0.4404
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,4,"Declare the cause of my conceived grief,","['Declare', 'cause', 'conceived', 'grief']",-0.4939
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,5,"Which is, God knows, about that Tamburlaine,","['God', 'knows', 'Tamburlaine']",0.2732
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,6,"That, like a fox in midst of harvest-time,","['like', 'fox', 'midst', 'harvest-time']",0.3612
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,7,Doth prey upon my flocks of passengers;,"['Doth', 'prey', 'upon', 'flocks', 'passengers']",0.0
Tamburlaine the Great-Part1,MYCETES,SCENE I.,SCENE I.,8,"And, as I hear, doth mean to pull my plumes:","['hear', 'doth', 'mean', 'pull', 'plumes']",0.0
