play_name,character,act,scene,sentence,text,tokens,sentiment_score
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,1,"Egregious viceroys of these eastern parts,","['Egregious', 'viceroys', 'eastern', 'parts']",0.0
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,2,"Plac'd by the issue of great Bajazeth,","['Plac', 'issue', 'great', 'Bajazeth']",0.6249
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,3,"And sacred lord, the mighty Callapine,","['sacred', 'lord', 'mighty', 'Callapine']",0.0
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,4,Who lives in Egypt prisoner to that slave,"['lives', 'Egypt', 'prisoner', 'slave']",-0.5423
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,5,"Which kept his father in an iron cage,","['kept', 'father', 'iron', 'cage']",0.0
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,6,Now have we march'd from fair Natolia,"['march', 'fair', 'Natolia']",0.3182
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,7,"Two hundred leagues, and on Danubius' banks","['Two', 'hundred', 'leagues', 'Danubius', 'banks']",0.0
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,8,"Our warlike host, in complete armour, rest,","['warlike', 'host', 'complete', 'armour', 'rest']",0.0
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,9,"Where Sigismund, the king of Hungary,","['Sigismund', 'king', 'Hungary']",0.0
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,10,Should meet our person to conclude a truce:,"['meet', 'person', 'conclude', 'truce']",0.0
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,11,What! shall we parle with the Christian?,"['shall', 'parle', 'Christian']",0.0
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,12,"Or cross the stream, and meet him in the field?","['cross', 'stream', 'meet', 'field']",0.0
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,1,"King of Natolia, let us treat of peace:","['King', 'Natolia', 'let', 'treat', 'peace']",0.7351
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,2,"We all are glutted with the Christians' blood,","['glutted', 'Christians', 'blood']",0.0
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,3,"And have a greater foe to fight against,","['greater', 'foe', 'fight']",-0.4588
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,4,"Proud Tamburlaine, that now in Asia,","['Proud', 'Tamburlaine', 'Asia']",0.4767
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,5,"Near Guyron's head, doth set his conquering feet,","['Near', 'Guyron', 'head', 'doth', 'set', 'conquering', 'feet']",0.0
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,6,And means to fire Turkey as he goes:,"['means', 'fire', 'Turkey', 'goes']",-0.34
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,7,"'Gainst him, my lord, you must address your power.","[""'Gainst"", 'lord', 'must', 'address', 'power']",0.0
Tamburlaine the Great-Part2,URIBASSA,SCENE I.,none,1,"Besides, King Sigismund hath brought from Christendom","['Besides', 'King', 'Sigismund', 'brought', 'Christendom']",0.0
Tamburlaine the Great-Part2,URIBASSA,SCENE I.,none,2,"More than his camp of stout Hungarians,","['camp', 'stout', 'Hungarians']",0.1779
Tamburlaine the Great-Part2,URIBASSA,SCENE I.,none,3,"Sclavonians, Almains, Rutters,  Muffs, and Danes,","['Sclavonians', 'Almains', 'Rutters', 'Muffs', 'Danes']",0.0
Tamburlaine the Great-Part2,URIBASSA,SCENE I.,none,4,"That with the halberd, lance, and murdering axe,","['halberd', 'lance', 'murdering', 'axe']",-0.6908
Tamburlaine the Great-Part2,URIBASSA,SCENE I.,none,5,Will hazard that we might with surety hold.,"['hazard', 'might', 'surety', 'hold']",0.25
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,1,"Though from the shortest northern parallel,","['Though', 'shortest', 'northern', 'parallel']",0.0
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,2,"Vast Grantland, compass'd with the Frozen Sea,","['Vast', 'Grantland', 'compass', 'Frozen', 'Sea']",0.0
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,3,"(Inhabited with tall and sturdy men,","['Inhabited', 'tall', 'sturdy', 'men']",0.0
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,4,"Giants as big as hugy  Polypheme,)","['Giants', 'big', 'hugy', 'Polypheme']",0.0
