play_name,character,act,scene,sentence,text,tokens,sentiment_score
Tamburlaine the Great-Part1,MYCETES,1,1,1,"Brother Cosroe, I find myself agriev'd;","['Brother', 'Cosroe', 'find', 'agriev']",0.070991993
Tamburlaine the Great-Part1,MYCETES,1,1,2,"Yet insufficient to express the same,","['Yet', 'insufficient', 'express']",-0.496316843
Tamburlaine the Great-Part1,MYCETES,1,1,3,For it requires a great and thundering speech:,"['requires', 'great', 'thundering', 'speech']",0.56068795
Tamburlaine the Great-Part1,MYCETES,1,1,4,"Good brother, tell the cause unto my lords;","['Good', 'brother', 'tell', 'cause', 'unto', 'lords']",0.210175777
Tamburlaine the Great-Part1,MYCETES,1,1,5,I know you have a better wit than I.,"['know', 'better', 'wit']",0.129772007
Tamburlaine the Great-Part1,COSROE,1,1,1,"Unhappy Persia,?that in former age","['Unhappy', 'Persia', '\x94that', 'former', 'age']",-0.52589348
Tamburlaine the Great-Part1,COSROE,1,1,2,"Hast been the seat of mighty conquerors,","['seat', 'mighty', 'conquerors']",0.096076258
Tamburlaine the Great-Part1,COSROE,1,1,3,"That, in their prowess and their policies,","['prowess', 'policies']",0.027978495
Tamburlaine the Great-Part1,COSROE,1,1,4,"Have triumph'd over Afric,  and the bounds","['triumph', 'Afric', 'bounds']",0.134795547
Tamburlaine the Great-Part1,COSROE,1,1,5,Of Europe where the sun dares scarce appear,"['Europe', 'sun', 'dares', 'scarce', 'appear']",0.024757572
Tamburlaine the Great-Part1,COSROE,1,1,6,"For freezing meteors and congealed cold,","['freezing', 'meteors', 'congealed', 'cold']",-0.08946202
Tamburlaine the Great-Part1,COSROE,1,1,7,Now to be rul'd and govern'd by a man,"['rul', 'govern', 'man']",-0.246117255
Tamburlaine the Great-Part1,COSROE,1,1,8,"At whose birth-day Cynthia with Saturn join'd,","['whose', 'birth-day', 'Cynthia', 'Saturn', 'join']",0.030300438
Tamburlaine the Great-Part1,COSROE,1,1,9,"And Jove, the Sun, and Mercury denied","['Jove', 'Sun', 'Mercury', 'denied']",-0.072638344
Tamburlaine the Great-Part1,COSROE,1,1,10,To shed their  influence in his fickle brain!,"['shed', 'influence', 'fickle', 'brain']",-0.601044856
Tamburlaine the Great-Part1,COSROE,1,1,11,"Now Turks and Tartars shake their swords at thee,","['Turks', 'Tartars', 'shake', 'swords']",-0.309414478
Tamburlaine the Great-Part1,COSROE,1,1,12,Meaning to mangle all thy provinces.,"['Meaning', 'mangle', 'provinces']",-0.334315857
Tamburlaine the Great-Part1,MYCETES,1,1,1,"Brother, I see your meaning well enough,","['Brother', 'see', 'meaning', 'well', 'enough']",0.272856016
Tamburlaine the Great-Part1,MYCETES,1,1,2,And through  your planets I perceive you think,"['planets', 'perceive', 'think']",0.042140272
Tamburlaine the Great-Part1,MYCETES,1,1,3,I am not wise enough to be a king:,"['wise', 'enough', 'king']",-0.758293986
Tamburlaine the Great-Part1,MYCETES,1,1,4,"But I refer me to my noblemen,","['refer', 'noblemen']",0.113687534
Tamburlaine the Great-Part1,MYCETES,1,1,5,"That know my wit, and can be witnesses.","['know', 'wit', 'witnesses']",0.08648346
Tamburlaine the Great-Part1,MYCETES,1,1,6,"I might command you to be slain for this,","['might', 'command', 'slain']",-0.517479312
Tamburlaine the Great-Part1,MYCETES,1,1,7,"Meander, might I not?","['Meander', 'might']",-0.132901818
Tamburlaine the Great-Part1,MEANDER,1,1,1,"Not for so small a fault, my sovereign lord.","['small', 'fault', 'sovereign', 'lord']",-0.332786117
Tamburlaine the Great-Part1,MYCETES,1,1,1,"I mean it not, but yet I know I might.","['mean', 'yet', 'know', 'might']",-0.006713375
Tamburlaine the Great-Part1,MYCETES,1,1,2,"Yet live; yea, live; Mycetes wills it so.","['Yet', 'live', 'yea', 'live', 'Mycetes', 'wills']",0.190982373
