play_name,character,act,scene,sentence,text,Unnamed: 6,Unnamed: 7,Unnamed: 8,tokens,sentiment_score
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,1,"Not marching now in fields of Thrasymene,",,,,"['marching', 'fields', 'Thrasymene']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,2,Where Mars did mate the Carthaginians;,,,,"['Mars', 'mate', 'Carthaginians']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,3,"Nor sporting in the dalliance of love,",,,,"['sporting', 'dalliance', 'love']",0.6369
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,4,In courts of kings where state is overturn?d;,,,,"['courts', 'kings', 'state', 'overturn', '\x99d']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,5,"Nor in the pomp of proud audacious deeds,",,,,"['pomp', 'proud', 'audacious', 'deeds']",0.6124
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,6,Intends our Muse to vaunt her heavenly verse:,,,,"['Intends', 'Muse', 'vaunt', 'heavenly', 'verse']",0.6124
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,7,"Only this, gentlemen,?we must perform",,,,"['gentlemen', '\x94we', 'must', 'perform']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,8,"The form of Faustus??fortunes, good or bad:",,,,"['form', 'Faustus', 'fortunes', 'good', 'bad']",-0.2406
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,9,"To patient judgments we appeal our plaud,",,,,"['patient', 'judgments', 'appeal', 'plaud']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,10,And speak for Faustus in his infancy.,,,,"['speak', 'Faustus', 'infancy']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,11,"Now is he born, his parents base of stock,",,,,"['born', 'parents', 'base', 'stock']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,12,"In Germany, within a town call?d Rhodes:",,,,"['Germany', 'within', 'town', 'call', '\x99d', 'Rhodes']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,13,"Of riper years, to Wertenberg he went,",,,,"['riper', 'years', 'Wertenberg', 'went']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,14,Whereas his kinsmen chiefly brought him up.,,,,"['Whereas', 'kinsmen', 'chiefly', 'brought']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,15,"So soon he profits in divinity,",,,,"['soon', 'profits', 'divinity']",0.7823
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,16,"The fruitful plot of scholarism grac?d,",,,,"['fruitful', 'plot', 'scholarism', 'grac', '\x99d']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,17,"That shortly he was grac?d with doctor?s name,",,,,"['shortly', 'grac', '\x99d', 'doctor', '\x99s', 'name']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,18,Excelling all whose sweet delight disputes,,,,"['Excelling', 'whose', 'sweet', 'delight', 'disputes']",0.8519
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,19,In heavenly matters of theology;,,,,"['heavenly', 'matters', 'theology']",0.6249
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,20,"Till swoln with cunning, of a self-conceit,",,,,"['Till', 'swoln', 'cunning', 'self-conceit']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,21,"His waxen wings did mount above his reach,",,,,"['waxen', 'wings', 'mount', 'reach']",0.0258
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,22,"And, melting, heavens conspir?d his overthrow;",,,,"['melting', 'heavens', 'conspir', '\x99d', 'overthrow']",0.4019
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,23,"For, falling to a devilish exercise,",,,,"['falling', 'devilish', 'exercise']",-0.5719
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,24,"And glutted now with learning?s golden gifts,",,,,"['glutted', 'learning', '\x99s', 'golden', 'gifts']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,25,He surfeits upon cursed necromancy;,,,,"['surfeits', 'upon', 'cursed', 'necromancy']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,26,"Nothing so sweet as magic is to him,",,,,"['Nothing', 'sweet', 'magic']",-0.4013
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,27,Which he prefers before his chiefest bliss:,,,,"['prefers', 'chiefest', 'bliss']",0.5719
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,28,And this the man that in his study sits.,,,,"['man', 'study', 'sits']",0.0
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Settle thy studies, Faustus, and begin",,,,"['Settle', 'studies', 'Faustus', 'begin']",0.0
