text(christopher),match sentence
"I will, sir.","Madam, I will."
"Then come and dine with me, and, after meat,","in the meat, and we will come in to dinner."
"How now, sirrah! where?혲s thy master?","How now, sirrah! how goes the world with thee?"
where he is.,Where is he?
where he is.,Where is he?
"Yes, sirrah, I heard you.","How now, sirrah! how goes the world with thee?"
"would inform your worships:  and so, the Lord bless you,",God bless your worship!
And may not follow thee without his leave:,And left thee but a very prey to time;
"Tell me, sirrah, hast thou any comings in?","How now, sirrah! how goes the world with thee?"
"Well, sirrah, follow me.","How now, sirrah! how goes the world with thee?"
"Well, sirrah, come.","How now, sirrah! how goes the world with thee?"
"And I will be thy slave, and wait on thee,","And I will love thee, and prefer thee too."
And give thee more than thou hast wit to ask.,I pardon thee thy life before thou ask it:
Write it in manner of a deed of gift.,"Clerk, draw a deed of gift."
"Homo, fuge:  whither should I fly?",Whither should I fly?
"Ay, take it, and the devil give thee good on?혲t!","Ay, if the devil tempt thee to do good."
"Tut, I warrant thee.",I warrant thee.
Thinkest thou heaven is such a glorious thing?,Heaven and thy thoughts are witness that thou art.
"Tush,",Tush!
Ay.,"Ay, so he says."
Ay.,"Ay, ay."
Ay.,"Ay, boy."
Ay.,"Ay, my good lord."
Ay.,Ay.
Ay.,"Ay, my good lord."
Ay.,"Ay, my good lord."
I will not.,"My lord, I will not."
"Nor will I henceforth:  pardon me in this,","I am bound by oath, and therefore pardon me."
"What art thou, the first?","In God's name, what art thou?"
"What art thou, the first?","Art thou, indeed?"
"What art thou, the second?","In God's name, what art thou?"
"What art thou, the second?","Art thou, indeed?"
"What art thou, the third?","In God's name, what art thou?"
"What art thou, the third?","Art thou, indeed?"
my father.,My husband!
And thou shalt turn thyself into what shape thou wilt.,"Thou shalt have justice, more than thou desirest."
Which Julius Caesar brought from Africa.,That Julius Caesar was a famous man;
How say you now?,how say you?
"My gracious sovereign, though I must confess myself far",My gracious sovereign?
"My gracious sovereign, though I must confess myself far","Prove me, my gracious sovereign."
"My gracious sovereign, though I must confess myself far","My gracious sovereign, on the western coast"
"Thou shalt both satisfy my just desire,","Thou shalt have justice, more than thou desirest."
"My gracious lord, I am ready to accomplish your request,","Gracious my lord,"
bodies of those two deceased princes.,"And both the princes had been breathing here,"
"Thou damned wretch and execrable dog,","O, be thou damn'd, inexecrable dog!"
"?혬Now, my good lord, having done my duty, I humbly take my leave.",So humbly take my leave.
him.,him.
where?혲s your master?,Where is your master?
I do?,I do.
Be gone quickly.,So be gone: you are sped.
I humbly thank your grace.,"I thank his grace, I know he loves me well;"
I humbly thank your grace.,I thank your grace.
I humbly thank your grace.,Your grace may do your pleasure.
"Gentlemen,","Go, gentlemen,"
"That from thy soul exclud?혲st the grace of heaven,","That I will shortly send thy soul to heaven,"
"?혬창?혲Tis but a surfeit; never fear, man.",For fear I surfeit.
"Pray thou, and we will pray that God may have","I pray thee, hear me speak."
"Pray thou, and we will pray that God may have","And what hope is that, I pray thee?"
mercy upon thee.,Thou'lt show thy mercy and remorse more strange
mercy upon thee.,"I cry thee mercy then, for I had thought"
mercy upon thee.,I cry thee mercy:
mercy upon thee.,"Cry mercy, lords and watchful gentlemen,"
