play_name,character,act,scene,sentence,text,tokens
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,1,"Egregious viceroys of these eastern parts,","['Egregious', 'viceroys', 'eastern', 'parts']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,2,"Plac'd by the issue of great Bajazeth,","['Plac', 'issue', 'great', 'Bajazeth']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,3,"And sacred lord, the mighty Callapine,","['sacred', 'lord', 'mighty', 'Callapine']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,4,Who lives in Egypt prisoner to that slave,"['lives', 'Egypt', 'prisoner', 'slave']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,5,"Which kept his father in an iron cage,","['kept', 'father', 'iron', 'cage']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,6,Now have we march'd from fair Natolia,"['march', 'fair', 'Natolia']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,7,"Two hundred leagues, and on Danubius' banks","['Two', 'hundred', 'leagues', 'Danubius', 'banks']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,8,"Our warlike host, in complete armour, rest,","['warlike', 'host', 'complete', 'armour', 'rest']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,9,"Where Sigismund, the king of Hungary,","['Sigismund', 'king', 'Hungary']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,10,Should meet our person to conclude a truce:,"['meet', 'person', 'conclude', 'truce']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,11,What! shall we parle with the Christian?,"['shall', 'parle', 'Christian']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,12,"Or cross the stream, and meet him in the field?","['cross', 'stream', 'meet', 'field']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,1,"King of Natolia, let us treat of peace:","['King', 'Natolia', 'let', 'treat', 'peace']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,2,"We all are glutted with the Christians' blood,","['glutted', 'Christians', 'blood']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,3,"And have a greater foe to fight against,","['greater', 'foe', 'fight']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,4,"Proud Tamburlaine, that now in Asia,","['Proud', 'Tamburlaine', 'Asia']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,5,"Near Guyron's head, doth set his conquering feet,","['Near', 'Guyron', 'head', 'doth', 'set', 'conquering', 'feet']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,6,And means to fire Turkey as he goes:,"['means', 'fire', 'Turkey', 'goes']"
Tamburlaine the Great-Part2,GAZELLUS,SCENE I.,none,7,"'Gainst him, my lord, you must address your power.","[""'Gainst"", 'lord', 'must', 'address', 'power']"
Tamburlaine the Great-Part2,URIBASSA,SCENE I.,none,1,"Besides, King Sigismund hath brought from Christendom","['Besides', 'King', 'Sigismund', 'brought', 'Christendom']"
Tamburlaine the Great-Part2,URIBASSA,SCENE I.,none,2,"More than his camp of stout Hungarians,","['camp', 'stout', 'Hungarians']"
Tamburlaine the Great-Part2,URIBASSA,SCENE I.,none,3,"Sclavonians, Almains, Rutters,  Muffs, and Danes,","['Sclavonians', 'Almains', 'Rutters', 'Muffs', 'Danes']"
Tamburlaine the Great-Part2,URIBASSA,SCENE I.,none,4,"That with the halberd, lance, and murdering axe,","['halberd', 'lance', 'murdering', 'axe']"
Tamburlaine the Great-Part2,URIBASSA,SCENE I.,none,5,Will hazard that we might with surety hold.,"['hazard', 'might', 'surety', 'hold']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,1,"Though from the shortest northern parallel,","['Though', 'shortest', 'northern', 'parallel']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,2,"Vast Grantland, compass'd with the Frozen Sea,","['Vast', 'Grantland', 'compass', 'Frozen', 'Sea']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,3,"(Inhabited with tall and sturdy men,","['Inhabited', 'tall', 'sturdy', 'men']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,4,"Giants as big as hugy  Polypheme,)","['Giants', 'big', 'hugy', 'Polypheme']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,5,"Millions of soldiers cut the  arctic line,","['Millions', 'soldiers', 'cut', 'arctic', 'line']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,6,"Bringing the strength of Europe to these arms,","['Bringing', 'strength', 'Europe', 'arms']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,7,"Our Turkey blades shall glide through all their throats,","['Turkey', 'blades', 'shall', 'glide', 'throats']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,8,And make this champion  mead a bloody fen:,"['make', 'champion', 'mead', 'bloody', 'fen']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,9,"Danubius' stream, that runs to Trebizon,","['Danubius', 'stream', 'runs', 'Trebizon']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,10,"Shall carry, wrapt within his scarlet waves,","['Shall', 'carry', 'wrapt', 'within', 'scarlet', 'waves']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,11,"As martial presents to our friends at home,","['martial', 'presents', 'friends', 'home']"
Tamburlaine the Great-Part2,ORCANES,SCENE I.,none,12,The slaughter'd bodies of these Christians:,"['slaughter', 'bodies', 'Christians']"
